,Unnamed: 0,fasta,scaffold,gene_position,start_position,end_position,strandedness,rank,ko_id,kegg_hit,peptidase_id,peptidase_family,peptidase_hit,peptidase_RBH,peptidase_identity,peptidase_bitScore,peptidase_eVal,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,heme_regulatory_motif_count
63255,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_44,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,44,37922,38704,-1,C,K01142,exodeoxyribonuclease III [EC:3.1.11.2],,,,,,,,Endonuclease/Exonuclease/phosphatase family [PF03372.26],,,,,0
63256,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_45,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,45,38714,39298,-1,D,,,,,,,,,,Domain of unknown function (DUF4337) [PF14235.9],,,,,0
63257,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_46,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,46,39318,39818,-1,C,K00287,dihydrofolate reductase [EC:1.5.1.3],,,,,,,,Dihydrofolate reductase [PF00186.22],,,,,0
63258,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_47,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,47,39818,40651,-1,C,K00560,thymidylate synthase [EC:2.1.1.45],,,,,,,,Thymidylate synthase [PF00303.22],,,,,0
63259,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_48,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,48,40704,42128,-1,D,,,MER1333612,S33,MER1333612 - family S33 unassigned peptidases (Ziziphus jujuba) [S33.UPW]#S33#{peptidase unit: 8-314}~source XP_015871339~,False,0.315,67.0,3.834e-10,"FAD linked oxidases, C-terminal domain [PF02913.22]; FAD binding domain [PF01565.26]",AA4,AA4 vanillyl-alcohol oxidase (EC 1.1.3.38),1.1.3.38,AA4.hmm,0
63260,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_49,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,49,42125,42499,-1,D,,,,,,,,,,Predicted membrane protein (DUF2069) [PF09842.12],,,,,0
63261,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_50,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,50,42548,43807,1,C,K07058,membrane protein,,,,,,,,Virulence factor BrkB [PF03631.18],,,,,0
63262,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_51,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,51,43797,44126,-1,D,,,,,,,,,,2-hydroxy-palmitic acid dioxygenase Mpo1-like [PF06127.14],,,,,0
63263,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_52,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,52,44169,44978,-1,D,,,MER0060025,S33,MER0060025 - family S33 unassigned peptidases (Rhodoferax ferrireducens) [S33.UPW]#S33#{peptidase unit: 7-260}~source ABD70868~,True,0.702,359.0,5.916e-111,"Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]; Prolyl oligopeptidase family [PF00326.24]; Lipase [PF00151.22]; Thioesterase domain [PF00975.23]; Alpha/beta hydrolase domain [PF20408.1]; Esterase FrsA-like [PF06500.14]",,,,,0
63264,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_53,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,53,44975,46315,-1,C,K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],,,,,,,,Cys/Met metabolism PLP-dependent enzyme [PF01053.23]; Aminotransferase class-V [PF00266.22]; L-seryl-tRNA selenium transferase [PF03841.16],,,,,0
63265,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_54,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,54,46426,46896,1,D,,,,,,,,,,CBS domain [PF00571.31],,,,,0
63266,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_55,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,55,46911,47990,1,C,K01736,chorismate synthase [EC:4.2.3.5],,,,,,,,Chorismate synthase [PF01264.24],,,,,0
63267,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_56,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,56,48003,49205,1,C,K05820,"MFS transporter, PPP family, 3-phenylpropionic acid transporter",,,,,,,,MFS_1 like family [PF12832.10]; Nucleoside H+ symporter [PF03825.19],,,,,0
63268,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_57,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,57,49202,50107,1,D,,,MER0210170,S33,MER0210170 - family S33 unassigned peptidases (Acidovorax avenae) [S33.UPW]#S33#{peptidase unit: 42-282}~source YP_970654~,False,0.545,243.0,4.181e-70,"Serine aminopeptidase, S33 [PF12146.11]; Alpha/beta hydrolase family [PF12697.10]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]",,,,,0
63269,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_58,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,58,50050,50499,-1,C,K03786,3-dehydroquinate dehydratase II [EC:4.2.1.10],,,,,,,,Dehydroquinase class II [PF01220.22],,,,,0
63270,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_59,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,59,50447,50545,-1,E,,,,,,,,,,,,,,,0
63271,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_60,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,60,50619,51278,1,D,,,,,,,,,,DSBA-like thioredoxin domain [PF01323.23],,,,,0
63272,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_61,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,61,51282,51671,1,D,,,,,,,,,,DCC1-like thiol-disulfide oxidoreductase [PF04134.15],,,,,0
63273,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_62,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,62,51668,52372,1,D,,,,,,,,,,short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9],,,,,0
63274,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_63,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,63,52400,52573,1,E,,,,,,,,,,,,,,,0
63275,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_64,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,64,52570,53160,1,D,,,,,,,,,,Histidine phosphatase superfamily (branch 1) [PF00300.25],,,,,0
63276,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_65,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,65,53197,54540,-1,C,K25656,cryptochrome,,,,,,,,FAD binding domain of DNA photolyase [PF03441.17]; DNA photolyase [PF00875.21],,,,,0
63277,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_66,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,66,54559,56088,-1,D,,,,,,,,,,FAD binding domain of DNA photolyase [PF03441.17]; DNA photolyase [PF00875.21],,,,,0
63278,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_67,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,67,56095,57066,-1,D,,,,,,,,,,MerR HTH family regulatory protein [PF13411.9],,,,,0
63279,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_68,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,68,57199,57714,1,D,,,,,,,,,,Iron-dependent Transcriptional regulator [PF02082.23],,,,,0
63280,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_69,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,69,57781,59685,-1,D,,,,,,,,,,B12 binding domain [PF02310.22],,,,,0
63281,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_70,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,70,59752,60237,-1,D,,,,,,,,,,Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13420.10]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]; FR47-like protein [PF08445.13],,,,,0
63282,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_71,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,71,60234,63137,-1,C,K00281,glycine dehydrogenase [EC:1.4.4.2],,,,,,,,Glycine cleavage system P-protein [PF02347.19]; Beta-eliminating lyase [PF01212.24]; Pyridoxal-dependent decarboxylase conserved domain [PF00282.22]; Aminotransferase class-V [PF00266.22],,,,,0
63283,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_72,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,72,63197,63568,-1,C,K02437,glycine cleavage system H protein,,,,,,,,Glycine cleavage H-protein [PF01597.22],,,,,0
63284,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_73,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,73,63655,64824,-1,C,K00605,aminomethyltransferase [EC:2.1.2.10],,,,,,,,Aminomethyltransferase folate-binding domain [PF01571.24]; Glycine cleavage T-protein C-terminal barrel domain [PF08669.14],,,,,0
63285,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_74,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,74,65111,66808,-1,C,K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],,,,,,,,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S [PF05187.16]; FAD binding domain [PF01494.22]; FAD binding domain [PF00890.27]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]; FAD dependent oxidoreductase [PF12831.10]; Lycopene cyclase protein [PF05834.15]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; NAD(P)-binding Rossmann-like domain [PF13450.9]; GMC oxidoreductase [PF00732.22]",,,,,0
63286,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_75,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,75,66948,67376,1,C,K07107,acyl-CoA thioester hydrolase [EC:3.1.2.-],,,,,,,,Thioesterase-like superfamily [PF13279.9],,,,,0
63287,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_76,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,76,67436,68044,-1,D,,,,,,,,,,Carboxymuconolactone decarboxylase family [PF02627.23],,,,,0
63288,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_77,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,77,68217,68924,1,C,K01028,3-oxoacid CoA-transferase subunit A [EC:2.8.3.5],,,,,,,,Coenzyme A transferase [PF01144.26],,,,,0
63289,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_78,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,78,68927,69568,1,C,K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5],,,,,,,,,,,,,0
63290,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_79,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,79,69665,71143,-1,C,K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],,,,,,,,Aldehyde dehydrogenase family [PF00171.25],,,,,0
63291,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_80,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,80,71287,73911,1,C,K01872,alanyl-tRNA synthetase [EC:6.1.1.7],,,,,,,,tRNA synthetases class II (A) [PF01411.22]; DHHA1 domain [PF02272.22]; Threonyl and Alanyl tRNA synthetase second additional domain [PF07973.17],,,,,0
63292,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_81,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,81,73993,74988,-1,C,K06177,tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29],,,,,,,,RNA pseudouridylate synthase [PF00849.25],,,,,0
63293,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_82,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,82,74954,75691,-1,C,K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33],,,,,,,,Putative methyltransferase [PF02390.20],,,,,0
63294,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_83,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,83,75688,76614,-1,C,K01894,glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-],,,,,,,,"tRNA synthetases class I (E and Q), catalytic domain [PF00749.24]",,,,,0
63295,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_84,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,84,76621,77685,-1,C,K18208,renalase [EC:1.6.3.5],,,,,,,,Flavin containing amine oxidoreductase [PF01593.27]; NAD(P)-binding Rossmann-like domain [PF13450.9]; FAD binding domain [PF01494.22]; Flavin-binding monooxygenase-like [PF00743.22]; FAD dependent oxidoreductase [PF01266.27]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; FAD binding domain [PF00890.27],,,,,0
63296,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_85,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,85,77695,78660,-1,D,,,,,,,,,,"Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]",,,,,0
63297,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_86,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,86,78760,79461,1,C,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",,,,,,,,Pirin [PF02678.19]; Quercetinase C-terminal cupin domain [PF17954.4],,,,,0
63298,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_87,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,87,79502,80035,1,C,K03809,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],,,,,,,,NADPH-dependent FMN reductase [PF03358.18]; Flavodoxin domain [PF12724.10]; Flavodoxin [PF00258.28],AA6,"AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)",1.6.5.6,AA6.hmm,0
63299,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_88,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,88,80104,80946,-1,C,K07146,UPF0176 protein,,,,,,,,UPF0176 acylphosphatase like domain [PF17773.4]; Rhodanese-like domain [PF00581.23],,,,,0
63300,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_89,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,89,81001,84423,1,C,K02337,DNA polymerase III subunit alpha [EC:2.7.7.7],,,,,,,,Bacterial DNA polymerase III alpha NTPase domain [PF07733.15]; Bacterial DNA polymerase III alpha subunit finger domain [PF17657.4]; Helix-hairpin-helix motif [PF14579.9]; PHP domain [PF02811.22],,,,,0
63301,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_90,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,90,84494,85432,-1,C,K03646,colicin import membrane protein,,,,,,,,TonB C terminal [PF13103.9],,,,,0
63302,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_91,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,91,85470,85889,-1,C,K03559,biopolymer transport protein ExbD,,,,,,,,Biopolymer transport protein ExbD/TolR [PF02472.19],,,,,0
63303,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_92,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,92,85908,86639,-1,C,K03562,biopolymer transport protein TolQ,,,,,,,,MotA/TolQ/ExbB proton channel family [PF01618.19],,,,,0
63304,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_93,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,93,86636,87046,-1,C,K07107,acyl-CoA thioester hydrolase [EC:3.1.2.-],,,,,,,,Thioesterase-like superfamily [PF13279.9]; Thioesterase superfamily [PF03061.25]; Acyl-ACP thioesterase [PF01643.20],,,,,0
63305,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_94,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,94,87043,87576,-1,C,K03625,transcription antitermination protein NusB,,,,,,,,NusB family [PF01029.21],,,,,0
63306,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_95,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,95,87573,88067,-1,C,K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",,,,,,,,"6,7-dimethyl-8-ribityllumazine synthase [PF00885.22]",,,,,0
63307,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_218830_96,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_218830,96,88071,89225,-1,C,K14652,"3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]",,,,,,,,"3,4-dihydroxy-2-butanone 4-phosphate synthase [PF00926.22]; GTP cyclohydrolase II [PF00925.23]",,,,,0
63370,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_1,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,1,2,493,1,C,K00053,ketol-acid reductoisomerase [EC:1.1.1.86],,,,,,,,"Acetohydroxy acid isomeroreductase, catalytic domain [PF01450.22]",,,,,0
63371,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_2,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,2,692,1348,1,D,,,MER0513036,S85,MER0513036 - small protease ({Pseudomonas aeruginosa}) (Ceratitis capitata) [S85.001]#S85#{peptidase unit: 23-184}~source XP_004527782~,False,0.355,100.0,2.644e-22,YceI-like domain [PF04264.16],,,,,0
63372,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_3,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,3,1385,2524,-1,C,K21159,epoxide hydrolase,MER0131410,S33,MER0131410 - family S33 non-peptidase homologues (Stackebrandtia nassauensis) [S33.UNW]#S33#{peptidase unit: 15-378}~source GEBA2500560786~,True,0.557,389.0,5.145e-119,Epoxide hydrolase N terminus [PF06441.15]; alpha/beta hydrolase fold [PF00561.23],,,,,0
63373,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_4,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,4,2737,4404,1,C,K01649,2-isopropylmalate synthase [EC:2.3.3.13],,,,,,,,HMGL-like [PF00682.22]; LeuA allosteric (dimerisation) domain [PF08502.13],,,,,0
63374,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_5,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,5,4539,5597,1,C,K07046,L-fuconolactonase [EC:3.1.1.-],,,,,,,,Amidohydrolase [PF04909.17],,,,,0
63375,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_6,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,6,5682,6662,1,C,K00459,nitronate monooxygenase [EC:1.13.12.16],,,,,,,,Nitronate monooxygenase [PF03060.18],,,,,0
63376,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_7,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,7,7250,7951,-1,E,,,,,,,,,,,,,,,0
63377,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_8,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,8,8094,8573,-1,D,,,,,,,,,,NADPH-dependent FMN reductase [PF03358.18],,,,,0
63378,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_9,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,9,8587,9843,-1,E,,,,,,,,,,,,,,,0
63379,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_10,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,10,10068,11759,1,C,K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-],,,,,,,,RecJ OB domain [PF17768.4]; DHH family [PF01368.23]; DHHA1 domain [PF02272.22],,,,,0
63380,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_11,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,11,12458,12703,-1,C,K07733,prophage regulatory protein,,,,,,,,Prophage CP4-57 regulatory protein (AlpA) [PF05930.15],,,,,0
63381,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_12,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,12,12751,13197,-1,E,,,,,,,,,,,,,,,0
63382,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_13,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,13,13545,13898,1,C,K12069,conjugal transfer pilus assembly protein TraA,,,,,,,,,,,,,0
63383,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_14,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,14,13926,14213,1,C,K12068,conjugal transfer pilus assembly protein TraL,,,,,,,,TraL protein [PF07178.14],,,,,0
63384,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_15,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,15,14226,14807,1,C,K12067,conjugal transfer pilus assembly protein TraE,,,,,,,,TraE protein [PF05309.14],,,,,0
63385,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_16,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,16,14804,15559,1,C,K12066,conjugal transfer pilus assembly protein TraK,,,,,,,,TraK protein [PF06586.14],,,,,0
63386,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_17,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,17,15556,16917,1,C,K12065,conjugal transfer pilus assembly protein TraB,,,,,,,,Bacterial conjugation TrbI-like protein [PF03743.17],,,,,0
63387,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_18,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,18,16914,17807,1,C,K03981,thiol:disulfide interchange protein DsbC [EC:5.3.4.1],,,,,,,,Thioredoxin-like domain [PF13098.9]; Disulfide bond isomerase protein N-terminus [PF10411.12],,,,,0
63388,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_19,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,19,17813,18583,1,C,K12064,conjugal transfer pilus assembly protein TraV,,,,,,,,Type IV conjugative transfer system lipoprotein (TraV) [PF09676.13],,,,,0
63389,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_20,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,20,18583,21153,1,C,K12063,conjugal transfer ATP-binding protein TraC,,,,,,,,TraG P-loop domain [PF19044.3]; Family of unknown function (DUF5934) [PF19357.2]; TraC protein [PF11130.11]; AAA-like domain [PF12846.10],,,,,0
63390,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid___k121_227581_21,littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_1000.plasmid__,k121_227581,21,21153,21590,1,E,,,,,,,,,,,,,,,0
